      0                   0             1042890            0.000000000000      0.000000000000
      1               26834              955488            0.268340000000      0.027316908305
      2                   0             1052120            0.000000000000      0.000000000000
      3               45402             1047559            0.454020000000      0.041540366033
      4                   0              577429            0.000000000000      0.000000000000
      5               27764             1051986            0.277640000000      0.025713359574
      6               52369              127182            0.523690000000      0.291666434606
      7               36317               37032            0.363170000000      0.495126041255
      8               52673              148842            0.526730000000      0.261385008560
      9               71428               75606            0.714280000000      0.485792401757
     10               53719              116497            0.537190000000      0.315593128731
     11               57605               52622            0.576050000000      0.522603354895
     12               22308                   0            0.223080000000      1.000000000000
     13               34113                   0            0.341130000000      1.000000000000
     14               43579                   0            0.435790000000      1.000000000000
