5	9
10	15
115	130
33	41
100	114
105	119
93	107
34	43
24	32
12	17
7	11
75	88
60	72
69	82
1	2
80	94
86	99
55	66
118	133
23	30
69	81
76	88
70	82
56	67
97	111
56	68
11	17
102	117
90	104
57	68
28	36
13	18
89	102
99	114
47	57
41	51
113	129
30	38
2	4
98	112
8	13
48	59
120	136
96	111
127	137
120	135
58	69
20	27
60	71
38	48
29	37
98	113
9	13
1	3
71	83
129	137
63	74
20	26
130	137
87	100
29	38
63	75
14	20
128	137
116	131
71	84
123	137
122	137
23	31
86	100
13	19
101	115
46	57
90	103
106	122
62	74
46	56
26	34
136	137
84	98
114	129
96	110
53	64
61	73
73	86
85	99
52	63
94	108
115	131
64	75
109	125
52	62
48	58
80	93
103	118
10	14
125	137
92	107
95	109
114	130
66	77
25	33
14	19
39	49
36	45
50	60
68	80
59	70
31	40
19	26
40	49
54	65
132	137
35	44
42	52
119	134
15	20
43	52
57	69
66	78
74	87
65	76
126	137
88	101
68	81
78	90
110	126
105	120
72	84
47	58
5	8
83	97
99	113
49	60
79	93
33	42
82	95
43	53
62	73
54	64
8	12
106	121
36	44
87	101
103	117
4	8
111	126
117	132
92	106
3	5
72	85
9	14
102	116
2	5
34	42
91	104
37	47
104	119
76	89
18	25
118	134
104	118
38	47
51	62
77	89
111	127
37	46
4	7
112	128
49	59
73	85
42	51
41	50
85	98
55	65
101	116
18	24
7	12
109	124
50	61
16	22
77	90
17	24
64	76
119	135
79	92
6	10
108	124
81	94
131	137
44	53
21	28
40	50
75	87
16	23
117	133
22	30
134	137
91	105
116	132
27	34
78	91
112	127
100	115
121	137
135	137
89	103
32	40
74	86
6	9
84	97
3	6
27	35
88	102
95	110
113	128
35	43
65	77
26	33
25	32
28	35
39	48
94	109
107	122
93	108
82	96
22	29
53	63
124	137
107	123
31	39
59	71
45	54
21	27
70	83
24	31
19	25
44	54
11	16
45	55
15	21
110	125
81	95
133	137
67	79
51	61
30	39
83	96
67	80
17	23
58	70
12	18
108	123
32	41
61	72
97	112
