40	49
26	33
36	44
45	54
15	21
27	34
16	23
23	30
10	15
29	37
19	25
46	56
11	16
34	42
32	41
41	51
38	48
3	6
45	55
1	3
12	17
15	20
24	31
33	42
41	50
12	18
43	53
32	40
18	25
11	17
55	56
25	33
8	13
22	30
7	12
13	18
7	11
39	49
17	24
2	5
51	56
29	38
44	53
4	7
14	19
25	32
54	56
21	27
49	56
30	38
4	8
22	29
9	13
39	48
3	5
24	32
42	51
17	23
33	41
28	35
35	44
19	26
20	27
35	43
43	52
20	26
36	45
37	47
10	14
30	39
16	22
9	14
6	10
47	56
5	8
23	31
18	24
42	52
13	19
53	56
21	28
37	46
31	40
52	56
26	34
1	2
27	35
38	47
2	4
14	20
28	36
34	43
8	12
40	50
6	9
50	56
5	9
31	39
44	54
48	56
