      3      0         0.0000000000e+00                             0
      3      0         5.0000000000e+05                         96581
      7      0         3.5000000000e+06                         96583
      7      0         4.0000000000e+06                         96585
      7      0         4.5000000000e+06                         96587
      7      0         5.5000000000e+06                         96593
      7      0         6.0000000000e+06                         96595
      7      0         6.5000000000e+06                         96597
      7      0         7.0000000000e+06                         96599
      7      0         7.5000000000e+06                         96605
      7      0         8.0000000000e+06                         96607
      7      0         8.5000000000e+06                         96609
      7      0         9.0000000000e+06                         96611
      7      0         1.0500000000e+07                         96613
      7      0         1.1500000000e+07                         96617
     16      1         1.2000000000e+07                         96618
      7      0         1.2500000000e+07                         96623
      7      0         1.3500000000e+07                         96629
     16      1         1.5000000000e+07                         96630
      7      0         1.5500000000e+07                         96631
      7      0         1.6500000000e+07                         96633
      7      0         1.7000000000e+07                         96637
      7      0         1.8000000000e+07                         96639
      5      0         2.0000000000e+07                       3037152
      7      0         1.1900000000e+08                       3037154
      7      0         1.1950000000e+08                       3037160
      7      0         1.2000000000e+08                       3037162
      7      0         1.2050000000e+08                       3037166
      7      0         1.2100000000e+08                       3037168
      7      0         1.2200000000e+08                       3037170
      7      0         1.2250000000e+08                       3037174
      7      0         1.2300000000e+08                       3037176
      7      0         1.2400000000e+08                       3037180
     12      1         1.2450000000e+08                       3176808
      7      0         1.2900000000e+08                       3176809
      7      0         1.3050000000e+08                       3176813
      7      0         1.3100000000e+08                       3176819
      7      0         1.3350000000e+08                       3176821
      7      0         1.3400000000e+08                       3176823
      7      0         1.3500000000e+08                       3176829
     14      1         1.3600000000e+08                       3176832
      7      0         1.3650000000e+08                       3176833
      7      0         1.3700000000e+08                       3176835
      7      0         1.3800000000e+08                       3176837
     16      1         1.3850000000e+08                       3176840
      7      0         1.3900000000e+08                       3176845
      7      0         1.4000000000e+08                       3176847
      1      0         1.4100000000e+08                       9332780
      7      0         3.4850000000e+08                       9332782
      7      0         3.4900000000e+08                       9332784
      7      0         3.4950000000e+08                       9332786
     14      1         3.5050000000e+08                       9332789
      7      0         3.5100000000e+08                       9332792
      7      0         3.5150000000e+08                       9332798
      7      0         3.5200000000e+08                       9332802
      7      0         3.5250000000e+08                       9332804
