12495	12648
911	1081
13643	13801
5558	5736
8089	8230
10694	10859
1877	2041
1017	1178
12529	12707
1439	1610
2456	2599
13172	13325
11673	11847
6577	6742
2116	2293
11335	11480
11328	11473
6211	6389
7215	7388
10697	10840
6950	7131
1809	1972
706	866
10266	10434
1743	1905
825	989
10075	10239
12058	12231
11120	11292
12149	12290
7033	7209
3476	3623
1389	1556
1447	1617
13999	14119
1118	1277
6300	6472
8335	8516
2385	2555
11831	12010
9788	9941
4309	4488
4523	4688
5520	5690
8867	9039
5240	5400
7593	7770
13096	13272
2548	2714
12697	12865
6462	6626
12650	12816
14159	14247
11692	11862
2439	2605
7585	7762
6079	6247
9088	9267
4067	4240
10933	11082
3969	4110
1005	1166
10396	10549
13335	13495
10863	11001
10347	10526
8140	8311
4515	4680
8158	8330
5516	5694
5955	6121
9896	10062
14237	14310
9256	9424
2864	3038
11905	12073
7326	7490
5472	5640
4464	4632
5020	5166
2794	2976
13776	13922
11285	11456
10665	10836
674	814
3629	3805
8261	8408
1036	1177
95	152
7784	7954
6270	6423
12297	12469
397	533
9615	9789
4091	4266
2257	2440
2941	3119
12863	13023
13653	13809
5200	5343
8633	8776
4509	4674
4418	4582
7045	7198
5341	5509
7602	7749
6404	6571
7318	7487
4580	4744
97	171
13554	13687
966	1129
8447	8622
3811	3975
4632	4795
5994	6161
3582	3735
12949	13121
9363	9504
7041	7219
10148	10310
12820	12988
12637	12782
5815	5960
12221	12387
13345	13486
4799	4972
9409	9573
8566	8734
7248	7391
12719	12885
7715	7894
1128	1291
456	599
9689	9842
2718	2887
12844	13008
12180	12343
13445	13597
13867	14013
1355	1499
8973	9120
10109	10273
3627	3805
5097	5266
5586	5739
270	381
6087	6236
2144	2297
1724	1894
2213	2390
6478	6623
8755	8920
11960	12124
2969	3139
10076	10242
12262	12434
9931	10102
6159	6308
1711	1882
13110	13290
9154	9302
1754	1916
10234	10383
353	409
12553	12706
1528	1698
3961	4102
12798	12939
12755	12920
10273	10441
7138	7302
12810	12951
8922	9092
353	477
11252	11397
9316	9481
10729	10870
4250	4422
11688	11867
10599	10768
11612	11761
12243	12417
11694	11864
11358	11522
13983	14086
14214	14285
9690	9843
5837	6005
4973	5149
9131	9300
4292	4475
1966	2139
9157	9332
2744	2912
7217	7362
6478	6644
11789	11961
11367	11532
4082	4231
1535	1684
7049	7225
12670	12838
12855	12996
10104	10268
8067	8208
9724	9898
12727	12891
12135	12305
6368	6544
11059	11235
2207	2360
12083	12248
13377	13518
2020	2169
12943	13118
5633	5786
12904	13042
7195	7363
11050	11226
13985	14105
277	388
9764	9917
7087	7257
11691	11876
2679	2853
8018	8184
8020	8161
9927	10072
3257	3398
13309	13473
14329	14375
553	707
6853	7028
10277	10448
4532	4695
11899	12047
5103	5248
804	965
1722	1891
6873	7052
5448	5623
13817	13940
11932	12096
13577	13729
713	871
12978	13127
922	1089
12362	12534
11128	11281
10122	10285
5670	5846
5581	5734
2801	2948
10263	10436
9050	9225
2832	2985
1558	1707
11688	11865
3183	3347
13257	13424
1814	1955
4127	4276
2905	3082
3131	3298
9652	9829
1985	2134
6373	6557
10786	10956
51	112
10641	10816
6002	6164
2011	2160
3888	4057
7668	7844
12457	12633
535	684
9647	9824
4670	4808
2003	2177
2218	2394
4488	4633
268	332
1493	1642
11910	12078
13989	14112
3024	3188
8011	8177
12182	12349
7226	7392
7233	7397
14251	14320
10662	10826
6866	7036
5530	5707
3554	3726
14055	14159
6793	6965
4963	5116
12057	12229
2769	2918
6327	6499
3150	3315
1809	1969
3799	3965
2135	2311
1610	1778
9581	9730
3062	3235
10024	10186
10366	10547
4504	4647
4192	4371
7728	7881
3373	3547
11518	11659
13487	13620
8169	8318
2120	2298
14036	14141
2010	2182
12509	12685
675	835
12699	12867
6674	6843
6244	6422
1897	2059
12721	12885
3914	4078
5394	5565
2451	2616
12923	13093
5354	5516
3401	3572
618	766
10765	10906
7743	7921
10324	10503
12386	12533
6693	6860
9593	9761
7035	7218
1620	1784
646	781
609	648
13173	13345
3812	3978
10519	10693
11329	11474
10085	10251
14169	14257
3220	3389
12514	12667
8359	8531
7539	7712
13583	13738
5155	5323
3772	3940
4808	4978
12435	12618
5344	5509
5750	5921
10870	11038
11612	11787
2763	2912
3104	3274
8863	9012
10172	10335
9219	9364
6697	6862
2837	2990
5074	5238
12698	12868
2272	2446
5241	5403
885	1053
3753	3921
7640	7818
2094	2273
682	822
11359	11525
5153	5327
6186	6363
7434	7572
4672	4810
1541	1713
5972	6136
10416	10569
10515	10685
9050	9224
1649	1813
14	55
1854	2025
625	776
10615	10760
11437	11601
10671	10837
10660	10824
449	590
13834	13957
6049	6220
511	652
1675	1818
454	575
3003	3171
1748	1911
11327	11472
10647	10817
2840	2993
3592	3768
13379	13546
11547	11712
11205	11351
1682	1846
10105	10269
12275	12452
9296	9460
12294	12466
10761	10902
460	603
14136	14226
3025	3189
1472	1644
8954	9134
7987	8147
2394	2564
8609	8778
4941	5116
11154	11330
12401	12555
10970	11145
11353	11498
2577	2743
11759	11935
14122	14215
2167	2320
10280	10451
11204	11371
4955	5130
4393	4564
6587	6749
696	856
11457	11598
10398	10551
10150	10312
10283	10432
3736	3900
2885	3038
2752	2901
149	243
10103	10272
7924	8069
5274	5415
8829	9004
11427	11590
3838	4005
1018	1182
4713	4887
13901	14034
6968	7147
8057	8219
10189	10362
9357	9520
11090	11243
12056	12226
6864	7013
7557	7732
11308	11481
5685	5838
8241	8415
1352	1518
13966	14069
3639	3815
10513	10659
3984	4122
3932	4073
12174	12315
7084	7251
9485	9650
5656	5834
3822	3989
8522	8689
2379	2549
2577	2718
7087	7233
2008	2180
2062	2230
8267	8414
5628	5781
12291	12463
12644	12815
3457	3637
11269	11414
9146	9318
8944	9123
2642	2815
11371	11541
10615	10783
2775	2952
8371	8546
5460	5628
10641	10809
11058	11234
4514	4684
720	878
666	826
2575	2735
13690	13823
6526	6671
9992	10157
4982	5158
2792	2971
14257	14327
2870	3047
8407	8583
272	382
13788	13934
8652	8815
1211	1349
5316	5479
5817	5985
14072	14157
8624	8767
6431	6604
9453	9615
13126	13279
